id,title,year,concepts,referenced_works,primary_topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2194775991,Deep Residual Learning for Image Recognition,2016,"['Residual', 'Computer science', 'Coco', 'Artificial intelligence', 'Object detection', 'Deep learning', 'Segmentation', 'Pattern recognition (psychology)', 'Set (abstract data type)', 'Layer (electronics)', 'Artificial neural network', 'Task (project management)', 'Machine learning', 'Residual neural network', 'Deep neural networks', 'Algorithm', 'Organic chemistry', 'Chemistry', 'Economics', 'Management', 'Programming language']","['W6629368666', 'W4212915314', 'W2117812871', 'W6620707391', 'W6682359208', 'W2147238549', 'W6680555419', 'W6637551013', 'W2161388792', 'W1903029394', 'W6637242042', 'W4388297464', 'W2107878631', 'W6787972765', 'W2147800946', 'W6684191040', 'W4238404964', 'W6639102338', 'W1932847118', 'W6676338569', 'W6637373629', 'W1677182931', 'W6640036494', 'W2064675550', 'W6638667902', 'W2124509324', 'W1984309565', 'W1976921161', 'W1997542937', 'W1536680647', 'W2031489346', 'W6631943919', 'W2102605133', 'W6688059459', 'W2964103341', 'W4231990273', 'W4242212377', 'W6626481562', 'W2159979951', 'W2097117768', 'W2950094539', 'W1686810756', 'W2066941820', 'W1932624639', 'W2951603627', 'W2962835968', 'W1533861849', 'W2964118293', 'W2152424459', 'W2963504252', 'W2206858481', 'W639708223', 'W2125930537', 'W2163605009', 'W2914484425', 'W1799366690', 'W1836465849', 'W1690739335', 'W2950621961', 'W2139398462', 'W194249466', 'W3038058348', 'W2168894214', 'W1554663460', 'W1811843574', 'W2613718673', 'W3037950864', 'W3118608800', 'W2025357764', 'W2117539524', 'W1861492603', 'W2155893237', 'W1665214252', 'W2952009708', 'W2963542991', 'W1904365287', 'W4285719527', 'W2022532533', 'W2179352600', 'W2328425223', 'W1530872699']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,"['Computer science', 'Artificial intelligence', 'Segmentation', 'Margin (machine learning)', 'Sliding window protocol', 'Context (archaeology)', 'Path (computing)', 'Image segmentation', 'Pattern recognition (psychology)', 'Network architecture', 'Image (mathematics)', 'Window (computing)', 'Convolutional neural network', 'Computer vision', 'Machine learning', 'Computer network', 'Operating system', 'Paleontology', 'Biology']","['W1969013163', 'W1893585201', 'W1948751323', 'W1677182931', 'W2155893237', 'W2147800946', 'W1903029394', 'W2141273399', 'W2106146968', 'W2167510172', 'W2148349024', 'W1686810756', 'W2163605009']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1951724000,Fitting Linear Mixed-Effects Models Using<b>lme4</b>,2015,"['Restricted maximum likelihood', 'Deviance (statistics)', 'Mixed model', 'Smoothing', 'Applied mathematics', 'Likelihood function', 'Mathematics', 'Generalized linear model', 'Linear model', 'Maximum likelihood', 'Generalized linear mixed model', 'Covariate', 'Algorithm', 'Statistics', 'Mathematical optimization', 'Computer science']","['W4399638802', 'W2033623507', 'W2070779353', 'W2094761105', 'W2165693128', 'W2149851338', 'W2089024363', 'W2149719430', 'W7042992136', 'W1520511539', 'W4323359902', 'W1991769471', 'W2500756573', 'W6662203318', 'W1981457167', 'W2018089423', 'W1983955927', 'W348255556', 'W1981747359', 'W1231265883', 'W2129731748', 'W2082246284', 'W2105208711', 'W1549371580', 'W1972790352', 'W2155382668', 'W2582743722', 'W2413573154', 'W2100128674', 'W2068047481', 'W2172199324', 'W3086315876', 'W4399568367', 'W2145147745', 'W1864722563', 'W4302067479', 'W4399638382', 'W3031689935', 'W1770100412', 'W4399526077', 'W1756240476', 'W1967282477', 'W1587094587', 'W2097879961', 'W2045656233', 'W4285719527', 'W4248681815', 'W2798510847']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2163605009,ImageNet classification with deep convolutional neural networks,2017,"['Softmax function', 'Convolutional neural network', 'Computer science', 'Pooling', 'Dropout (neural networks)', 'Artificial intelligence', 'Convolution (computer science)', 'Regularization (linguistics)', 'Pattern recognition (psychology)', 'Deep neural networks', 'Word error rate', 'Normalization (sociology)', 'Artificial neural network', 'Machine learning', 'Sociology', 'Anthropology']","['W2061212083', 'W2911964244', 'W2166049352', 'W2101926813', 'W2546302380', 'W2015861736', 'W2130325614', 'W2018435387', 'W2026942141', 'W2144161366', 'W2110764733', 'W2053229256', 'W2097117768', 'W2169805405', 'W1576445103', 'W2396976214', 'W1499991161', 'W2097356275', 'W2134557905', 'W2108598243', 'W2108069432', 'W2156163116', 'W3118608800', 'W1665214252', 'W1904365287', 'W2154579312']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2919115771,Deep learning,2015,"['Computer science', 'Deep learning', 'Artificial intelligence', 'Abstraction', 'Representation (politics)', 'Layer (electronics)', 'Object (grammar)', 'Backpropagation', 'Convolutional neural network', 'Feature learning', 'Pattern recognition (psychology)', 'Speech recognition', 'Artificial neural network', 'Epistemology', 'Politics', 'Philosophy', 'Political science', 'Organic chemistry', 'Chemistry', 'Law']","['W2022508996', 'W6674914833', 'W2160815625', 'W1999798000', 'W1978592082', 'W2121289914', 'W2144015117', 'W2088338354', 'W6683738474', 'W1498436455', 'W2146989110', 'W170811313', 'W2136922672', 'W2100495367', 'W2120432001', 'W1993882792', 'W2163922914', 'W2112796928', 'W2116360511', 'W2098580305', 'W2166206801', 'W2091987367', 'W2117671523', 'W2144354855', 'W2108069432', 'W2158778629', 'W2169805405', 'W2120284346', 'W4232280717', 'W1487583988', 'W1999497791', 'W1752712236', 'W2072128103', 'W2157331557', 'W1970689298', 'W2107878631', 'W2064675550', 'W4249882522', 'W1514535095', 'W6743198006', 'W6630820455', 'W1993845689', 'W2025768430', 'W2169488311', 'W2074551195', 'W2145339207', 'W2095739681', 'W2800394774', 'W2111304802', 'W1573503290', 'W146900863', 'W2085989895', 'W3139812727']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2167279371,Fiji: an open-source platform for biological-image analysis,2012,"['Plug-in', 'Scripting language', 'Software', 'Computer science', 'Software engineering', 'Transformation (genetics)', 'Open source software', 'Data science', 'Open source', 'Image processing', 'Software evolution', 'Architecture', 'Software system', 'Image (mathematics)', 'Artificial intelligence', 'Software construction', 'Operating system', 'Biology', 'Art', 'Gene', 'Biochemistry', 'Visual arts']","['W2991126964', 'W2055043387', 'W1635391495', 'W2065455422', 'W2069981183', 'W2146153534', 'W2128339343', 'W2031312855', 'W2162979438', 'W2094574421', 'W2128366179', 'W2091733078', 'W2130623599', 'W2000396646', 'W2149404019', 'W2171911690', 'W2129289695', 'W2154917588', 'W2107554012', 'W2018227909', 'W2078930619', 'W1835740130', 'W2147762902', 'W2156755609', 'W2016029650', 'W2124404372', 'W2166572577', 'W1969013163', 'W2022235653', 'W2123813246', 'W2026140461', 'W1548529611', 'W2151103935', 'W2104095591', 'W2133990480', 'W2064043367', 'W2104827963', 'W1540070193', 'W2138825607', 'W1924015474', 'W1985072454', 'W1238092070']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2131271579,Trimmomatic: a flexible trimmer for Illumina sequence data,2014,"['Preprocessor', 'Computer science', 'Flexibility (engineering)', 'Java', 'Data mining', 'Data pre-processing', 'Sequence (biology)', 'Operating system', 'Programming language', 'Biology', 'Mathematics', 'Statistics', 'Genetics']","['W2094100452', 'W2157701114', 'W2170551349', 'W2103441770', 'W2093931624', 'W2158395749', 'W2139437267', 'W2103903744', 'W2036897871', 'W2160969485']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2099540110,NIH Image to ImageJ: 25 years of image analysis,2012,"['Software', 'Image (mathematics)', 'Computer science', 'Data science', 'Image processing', 'Image analysis', 'Computer graphics (images)', 'Computer vision', 'Digital image processing', 'Programming language']","['W2166771618', 'W1532532969', 'W2031502025', 'W2121469024', 'W2129047745', 'W2154592269', 'W1969293071', 'W2167279371', 'W2037947871', 'W2107554012', 'W2037586865', 'W565449262', 'W1540070193']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2170551349,Fast gapped-read alignment with Bowtie 2,2012,"['Computer science', 'Flexibility (engineering)', 'Dynamic programming', 'Software', 'Throughput', 'Index (typography)', 'Sensitivity (control systems)', 'Parallel computing', 'Algorithm', 'Computer hardware', 'Programming language', 'Operating system', 'Mathematics', 'Wireless', 'Electronic engineering', 'Engineering', 'Statistics']","['W2119180969', 'W2141458291', 'W2011411346', 'W2093931624', 'W2124985265', 'W2119279650', 'W2103441770', 'W4247053599', 'W2097341408', 'W2129504003', 'W2171777347', 'W1988929438', 'W2108234281', 'W2885727518']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2169456326,STAR: ultrafast universal RNA-seq aligner,2012,"['Computer science', 'JSON', 'Computational biology', 'Software', 'RNA-Seq', 'Adapter (computing)', 'Algorithm', 'Biology', 'Genetics', 'Transcriptome', 'Gene', 'Database', 'Programming language', 'Gene expression', 'Operating system']","['W2122789575', 'W1991330646', 'W2041257508', 'W2134924833', 'W2152331922', 'W2095685450', 'W2166810745', 'W1984783889', 'W2096173343', 'W2021819115', 'W2096465161', 'W2162396524', 'W2107282968', 'W6842402754', 'W2124514674', 'W2158874082', 'W2097337885', 'W1988929438', 'W2097065948', 'W2126144698', 'W2096441981', 'W2144938907', 'W4293196852', 'W2120293208', 'W2136145671']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
